Code,Name,Status,PSABDescription,ChartType,ChartAccountType,ParentObjectCode,SummaryLine,IsBudgetable,ActualsPostable,RequiresJobClass,AcceptsFTE,UsesDependentCharterTransfer,NCESReportingRequired,AllowsNegative,NotInUse
46100,Access Board (e-Rate),Active,Discounts provided through the Universal Service Administration Company (USAC) under the direction of the FCC to assist schools to obtain affordable telecommunications and Internet access through the Universal Service Fee (e-rate) charged to interstate and international telecommunications services.,Uniform FY27,Revenue,46000,No,Yes,Yes,No,No,No,No,No,No
46300,Special Items.,Active,"Used to classify special items in accordance with GASB Statement 34. Included are significant transactions or events within the control of the school district administration that are either unusual in nature or infrequent in occurrence. For some districts, these include the sale of certain general governmental capital assets; sale or lease of mineral rights, including oil and gas; sale of infrastructure assets; or significant forgiveness of debt by a financial institution. Special items may also include events that are not within the control of the district. In the governmental funds, these items should be separately captioned or disclosed.",Uniform FY27,Revenue,46000,No,Yes,Yes,No,No,No,No,No,No
46400,Extraordinary Items.,Active,"Used to classify items in accordance with GASB Statement 34. Included are transactions or events that are outside the control of the school district administration and are both unusual in nature and infrequent in occurrence. For some districts, these include insurance proceeds to cover significant costs related to a natural disaster such as a fire, flood, tornado, hurricane, or hail storm; insurance proceeds to cover costs related to an environmental disaster; or a large bequest to a small government by a private citizen. NCES REQUIRED REPORTING CODES The following are the codes required to be reported to the NCES as identified herein. Please note that many of these are header accounts that require roll-up of sub-accounts to meet the reporting requirements.",Uniform FY27,Revenue,46000,No,Yes,Yes,No,No,No,No,No,No
50000,Expenditures,Active,,Uniform FY27,Expenditure,,No,No,No,No,No,No,No,No,No
51000,Personnel Services - Compensation,Active,"Amounts paid to both permanent and temporary school district or charter school employees, including personnel substituting for those in permanent positions. This includes gross salary for personal services rendered while on the payroll of the school district or charter school and other forms of compensation. Used with all Functions except 2900 (Other Support Services), 4000 (Capital Outlay), and 5000 (Debt Service). Used with all Job Classifications except 0000 (None). This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Expenditure,50000,Yes,No,No,No,No,No,Yes,No,No
51100,Salaries Expense,Active,"Full-time, part-time, and prorated portions of the costs for work performed by permanent and temporary employees of the school district or charter school.",Uniform FY27,Expenditure,51000,No,Yes,Yes,Yes,Yes,No,No,No,No
51200,Overtime Expense,Active,Amounts paid to non-exempt employees of the school district or charter school in either temporary or permanent positions for work performed in addition to the normal work period for which the employee is compensated under regular and temporary salaries. The terms of such payment for overtime are a matter of state and local regulation and interpretation.,Uniform FY27,Expenditure,51000,No,Yes,Yes,Yes,No,No,No,No,No
51300,Additional Compensation,Active,Amounts paid to both permanent and temporary school district or charter school employees for items such as bonuses or incentives that are in addition to standard compensation. Includes stipends (amounts paid to both permanent and temporary school district or charter school employees that are paid on a regular or irregular basis for some specific purpose such as serving as a department chair or coaching that are in addition to standard compensation).,Uniform FY27,Expenditure,51000,No,Yes,Yes,Yes,No,No,No,No,No
52000,Personnel Services - Employee Benefits,Active,"Amounts paid by the school district or charter school on behalf of employees (amounts not included in gross salary but in addition to that amount). Such payments are fringe benefit payments and, although not paid directly to employees, nevertheless are parts of the cost of personnel services. Used with all Functions except 2900 (Other Support Services), 4000 (Capital Outlay), and 5000 (Debt Service). This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Expenditure,50000,Yes,No,No,No,No,No,Yes,No,No
52100,Retirement Contributions,Active,"Employer’s share of any state or local employee retirement system paid by the school district or charter school, including the amount paid for employees assigned to federal programs. Separate accounts have been established for the 52100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Expenditure,52000,No,No,No,No,No,No,No,No,No
52111,Educational Retirement,Active,Employer’s share of Educational Retirement contribution.,Uniform FY27,Expenditure,52100,No,Yes,Yes,Yes,No,No,No,No,No
52112,ERA - Retiree Health,Active,Employer’s share of Educational Retiree Health Care contribution..,Uniform FY27,Expenditure,52100,No,Yes,Yes,Yes,No,No,No,No,No
52200,Social Security Contributions,Active,"Employer’s share of Social Security paid by the school district or charter school. Separate accounts have been established for the 52200 series. Additional accounts may be added as needed for this same purpose. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Expenditure,52000,No,No,No,No,No,No,No,No,No
52210,FICA Payments,Active,Employer’s share of Social Security – FICA taxes.,Uniform FY27,Expenditure,52200,No,Yes,Yes,Yes,No,No,No,No,No
